rush_adv_team1,rush_adv_team2,pass_adv_team1,pass_adv_team2,score_adv_team1,score_adv_team2,turnover_adv_team1,turnover_adv_team2,pred_rank_team1,pred_rank_team2,sos_team1,sos_team2,WinPct_team1,WinPct_team2,week,label
-369.0,-75.0,55.0,-40.0,-30.0,-19.0,0.0,0.0,-7.6,-8.9,-7.9,-10.4,41.7,53.9,3,1
-75.0,-369.0,-40.0,55.0,-19.0,-30.0,0.0,0.0,-8.9,-7.6,-10.4,-7.9,53.9,41.7,3,0
57.5,89.0,-362.5,17.5,-18.5,13.5,0.5,2.0,2.3,-2.4,0.0,-16.9,81.3,53.9,3,1
89.0,57.5,17.5,-362.5,13.5,-18.5,2.0,0.5,-2.4,2.3,-16.9,0.0,53.9,81.3,3,0
-45.0,-37.0,63.0,0.0,-3.0,-29.0,2.0,3.0,-3.6,-15.6,-6.7,-8.9,33.3,46.2,3,1
-37.0,-45.0,0.0,63.0,-29.0,-3.0,3.0,2.0,-15.6,-3.6,-8.9,-6.7,46.2,33.3,3,0
-145.0,-106.0,-8.0,-130.0,-26.0,-41.0,2.0,1.0,-20.2,-3.4,-17.5,-4.4,53.9,25.0,3,1
-106.0,-145.0,-130.0,-8.0,-41.0,-26.0,1.0,2.0,-3.4,-20.2,-4.4,-17.5,25.0,53.9,3,0
-164.0,-73.0,-59.0,-69.0,-43.0,-18.0,1.0,-1.0,-7.2,-12.7,-8.8,-12.4,8.3,61.5,3,1
-73.0,-164.0,-69.0,-59.0,-18.0,-43.0,-1.0,1.0,-12.7,-7.2,-12.4,-8.8,61.5,8.3,3,0
-32.0,107.0,41.5,260.5,11.0,45.5,-1.0,-1.0,11.4,23.1,2.0,-8.1,25.0,53.9,3,1
107.0,-32.0,260.5,41.5,45.5,11.0,-1.0,-1.0,23.1,11.4,-8.1,2.0,53.9,25.0,3,0
-4.0,32.0,-45.0,-108.0,6.0,-4.0,0.0,-2.0,2.1,-9.2,-13.8,-11.4,76.9,33.3,3,1
32.0,-4.0,-108.0,-45.0,-4.0,6.0,-2.0,0.0,-9.2,2.1,-11.4,-13.8,33.3,76.9,3,0
-208.0,43.5,-43.5,-15.0,-17.5,-4.0,1.0,-1.0,7.0,-18.8,1.9,2.2,25.0,16.7,3,1
