rush_adv_team1,rush_adv_team2,pass_adv_team1,pass_adv_team2,score_adv_team1,score_adv_team2,turnover_adv_team1,turnover_adv_team2,pred_rank_team1,pred_rank_team2,sos_team2,sos_team2,week,label
-29.0,90.0,122.5,-32.0,23.5,-10.0,1.0,-2.0,26.6,8.1,5.3,-4.1,4,1
90.0,-29.0,-32.0,122.5,-10.0,23.5,-2.0,1.0,8.1,26.6,-4.1,5.3,4,0
-39.5,-52.5,-102.0,77.5,3.5,19.5,-3.0,1.0,2.9,8.6,-10.0,1.7,4,1
-52.5,-39.5,77.5,-102.0,19.5,3.5,1.0,-3.0,8.6,2.9,1.7,-10.0,4,0
124.0,194.5,59.0,91.5,20.0,48.5,0.0,-2.5,19.1,17.0,10.7,-14.2,4,1
194.5,124.0,91.5,59.0,48.5,20.0,-2.5,0.0,17.0,19.1,-14.2,10.7,4,0
35.5,143.5,0.0,-105.5,7.0,5.0,1.5,0.0,-3.6,6.3,-15.7,-2.1,4,1
143.5,35.5,-105.5,0.0,5.0,7.0,0.0,1.5,6.3,-3.6,-2.1,-15.7,4,0
-49.5,44.5,20.5,-60.0,3.0,-1.5,-1.0,0.0,7.3,-4.9,-1.2,-18.3,4,1
44.5,-49.5,-60.0,20.5,-1.5,3.0,0.0,-1.0,-4.9,7.3,-18.3,-1.2,4,0
160.0,-21.0,-59.0,-116.0,0.0,22.0,0.0,0.0,4.4,-11.3,-17.4,-10.5,4,1
-21.0,160.0,-116.0,-59.0,22.0,0.0,0.0,0.0,-11.3,4.4,-10.5,-17.4,4,0
-117.0,-88.5,-24.0,54.5,3.5,-2.0,0.0,0.0,2.9,-19.5,5.5,-20.6,4,1
-88.5,-117.0,54.5,-24.0,-2.0,3.5,0.0,0.0,-19.5,2.9,-20.6,5.5,4,0
-40.5,-101.0,3.0,-53.5,-11.5,-17.0,0.0,2.5,10.7,-15.4,7.0,2.0,4,1
-101.0,-40.5,-53.5,3.0,-17.0,-11.5,2.5,0.0,-15.4,10.7,2.0,7.0,4,0
95.0,-5.5,5.5,281.5,0.5,25.5,1.0,-1.5,17.7,-20.6,2.1,-31.6,4,1
-5.5,95.0,281.5,5.5,25.5,0.5,-1.5,1.0,-20.6,17.7,-31.6,2.1,4,0
-10.0,-59.0,-58.0,-21.0,-18.0,-14.0,0.0,4.0,0.8,-13.8,-5.9,-19.4,4,1
-59.0,-10.0,-21.0,-58.0,-14.0,-18.0,4.0,0.0,-13.8,0.8,-19.4,-5.9,4,0
186.0,27.0,187.0,-162.0,23.0,0.0,1.0,-1.0,-13.0,-4.9,-15.5,-18.9,4,1
27.0,186.0,-162.0,187.0,0.0,23.0,-1.0,1.0,-4.9,-13.0,-18.9,-15.5,4,0
99.0,119.0,-178.0,51.0,1.0,28.0,0.0,1.0,5.4,-3.0,-18.9,-5.9,4,1
119.0,99.0,51.0,-178.0,28.0,1.0,1.0,0.0,-3.0,5.4,-5.9,-18.9,4,0
-213.0,-245.0,-124.0,538.0,-45.0,19.0,-1.0,0.0,0.7,-9.5,0.1,-12.8,4,1
-245.0,-213.0,538.0,-124.0,19.0,-45.0,0.0,-1.0,-9.5,0.7,-12.8,0.1,4,0
-58.0,11.5,31.5,-168.0,12.0,-4.0,2.0,1.0,11.3,9.6,3.0,3.7,4,1
11.5,-58.0,-168.0,31.5,-4.0,12.0,1.0,2.0,9.6,11.3,3.7,3.0,4,0
30.0,-176.0,-11.5,122.0,-6.5,-1.0,-2.0,1.0,-6.8,8.4,-6.8,-3.6,4,1
-176.0,30.0,122.0,-11.5,-1.0,-6.5,1.0,-2.0,8.4,-6.8,-3.6,-6.8,4,0
-49.0,-175.0,-49.0,-7.0,6.0,-30.0,1.0,-1.0,-7.1,-6.8,-15.0,-5.9,4,1
-175.0,-49.0,-7.0,-49.0,-30.0,6.0,-1.0,1.0,-6.8,-7.1,-5.9,-15.0,4,0
-75.0,27.0,1.0,150.5,3.5,21.5,-0.5,2.0,7.1,1.9,-1.1,-11.7,5,1
27.0,-75.0,150.5,1.0,21.5,3.5,2.0,-0.5,1.9,7.1,-11.7,-1.1,5,0
-63.5,-287.0,23.0,53.5,-11.0,-10.5,-1.0,-0.5,-13.5,-10.2,-15.8,-6.8,5,1
-287.0,-63.5,53.5,23.0,-10.5,-11.0,-0.5,-1.0,-10.2,-13.5,-6.8,-15.8,5,0
-121.0,-48.7,136.3,-93.5,-6.200000000000003,-16.2,1.2999999999999998,-0.8,6.2,-28.4,2.1,-17.1,5,1
-48.7,-121.0,-93.5,136.3,-16.2,-6.200000000000003,-0.8,1.2999999999999998,-28.4,6.2,-17.1,2.1,5,0
136.0,91.5,-31.0,19.5,3.0,20.0,0.5,0.0,-3.1,7.3,-10.3,-6.5,5,1
91.5,136.0,19.5,-31.0,20.0,3.0,0.0,0.5,7.3,-3.1,-6.5,-10.3,5,0
-59.5,-41.0,-40.5,311.5,2.0,28.5,0.0,-2.0,6.7,7.8,-11.9,2.0,5,1
-41.0,-59.5,311.5,-40.5,28.5,2.0,-2.0,0.0,7.8,6.7,2.0,-11.9,5,0
37.0,42.5,-20.0,56.5,13.5,0.0,-1.0,0.0,-7.5,-1.8,-17.5,-6.8,5,1
42.5,37.0,56.5,-20.0,0.0,13.5,0.0,-1.0,-1.8,-7.5,-6.8,-17.5,5,0
79.0,-104.5,35.0,-41.0,11.5,-13.0,-1.0,1.0,28.0,-14.2,12.6,-15.0,5,1
-104.5,79.0,-41.0,35.0,-13.0,11.5,1.0,-1.0,-14.2,28.0,-15.0,12.6,5,0
-97.0,-22.5,-184.0,-6.5,-27.0,-3.0,0.0,1.0,1.8,3.1,-2.0,6.7,5,1
-22.5,-97.0,-6.5,-184.0,-3.0,-27.0,1.0,0.0,3.1,1.8,6.7,-2.0,5,0
38.5,-40.0,42.5,-56.5,7.0,-15.0,2.0,0.5,4.5,-1.8,-6.5,-0.4,5,1
-40.0,38.5,-56.5,42.5,-15.0,7.0,0.5,2.0,-1.8,4.5,-0.4,-6.5,5,0
120.30000000000001,61.60000000000001,132.7,110.69999999999999,35.3,12.3,-0.6000000000000001,0.9999999999999998,11.3,15.9,0.0,-4.0,5,1
61.60000000000001,120.30000000000001,110.69999999999999,132.7,12.3,35.3,0.9999999999999998,-0.6000000000000001,15.9,11.3,-4.0,0.0,5,0
120.30000000000001,36.3,-177.3,-51.30000000000001,4.299999999999997,-3.6999999999999993,-0.39999999999999997,0.9999999999999998,2.0,-7.0,-11.2,-3.0,5,1
36.3,120.30000000000001,-51.30000000000001,-177.3,-3.6999999999999993,4.299999999999997,0.9999999999999998,-0.39999999999999997,-7.0,2.0,-3.0,-11.2,5,0
57.69999999999999,123.0,20.30000000000001,-127.2,3.0,-3.3000000000000007,-0.19999999999999996,1.2,16.7,-13.1,6.2,-4.8,5,1
123.0,57.69999999999999,-127.2,20.30000000000001,-3.3000000000000007,3.0,1.2,-0.19999999999999996,-13.1,16.7,-4.8,6.2,5,0
220.5,30.0,108.5,174.0,22.0,19.0,1.0,0.5,7.2,11.4,-15.2,1.5,5,1
30.0,220.5,174.0,108.5,19.0,22.0,0.5,1.0,11.4,7.2,1.5,-15.2,5,0
-225.7,-0.6999999999999886,85.19999999999999,122.80000000000001,1.0,14.2,-0.19999999999999996,-1.5,7.3,-11.3,1.7,-12.5,5,1
-0.6999999999999886,-225.7,122.80000000000001,85.19999999999999,14.2,1.0,-1.5,-0.19999999999999996,-11.3,7.3,-12.5,1.7,5,0
-38.5,55.0,-112.5,88.0,7.0,15.5,-0.5,-1.0,4.8,2.7,-18.8,-5.4,5,1
55.0,-38.5,88.0,-112.5,15.5,7.0,-1.0,-0.5,2.7,4.8,-5.4,-18.8,5,0
-74.8,-1.6999999999999886,43.19999999999999,-40.69999999999999,-11.2,0.6999999999999993,-0.7,-0.8,-25.4,9.5,-19.2,5.4,5,1
-1.6999999999999886,-74.8,-40.69999999999999,43.19999999999999,0.6999999999999993,-11.2,-0.8,-0.7,9.5,-25.4,5.4,-19.2,5,0
-151.7,-38.5,-76.5,-74.80000000000001,-17.8,-6.699999999999999,-0.8,-0.2999999999999998,4.7,-13.3,-1.4,-7.5,5,1
