f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
135.0,200.3,228.3,232.7,19.3,34.3,1.7,2.0,90.0,-7.9,0.0,128.3,162.3,376.3,262.7,36.3,28.7,0.0,1.0,40.0,8.1,2.3,0
266.7,265.0,264.0,163.3,42.0,29.0,1.3,0.7,30.0,-2.5,-13.3,162.3,169.0,307.7,343.3,38.3,37.0,0.3,1.0,40.0,-6.8,-5.3,1
198.7,123.3,246.7,205.7,42.0,15.0,1.0,3.3,50.0,3.2,-4.4,157.7,190.0,258.7,202.7,31.3,24.0,1.3,1.7,90.0,-5.1,-7.2,1
110.0,146.0,299.7,334.0,17.7,43.3,1.3,0.7,40.0,-2.3,2.8,126.7,179.7,102.3,236.3,13.7,27.7,1.7,2.3,50.0,-0.2,2.7,1
86.0,221.3,219.0,240.0,19.3,30.3,2.3,1.3,70.0,-13.2,-7.5,162.3,228.3,168.0,302.0,13.7,42.3,3.0,0.7,70.0,-25.1,-2.8,0
198.0,242.3,195.0,156.0,26.7,22.7,2.3,2.3,66.7,17.7,8.7,236.7,205.3,326.0,247.0,46.0,35.3,1.0,1.7,88.9,10.9,6.7,0
59.3,175.3,131.7,171.3,13.3,26.7,2.0,1.0,70.0,-1.9,1.3,60.7,128.7,278.3,259.0,22.7,29.7,2.0,2.3,50.0,2.4,1.8,1
220.7,201.0,218.3,194.7,22.3,30.3,1.3,0.7,33.3,0.2,3.5,148.7,206.0,220.7,222.7,22.0,30.3,3.0,2.3,50.0,-11.2,-3.6,0
201.3,75.7,187.0,258.0,37.7,22.3,3.0,3.0,90.0,11.3,4.2,187.0,111.7,214.7,233.7,23.7,25.3,4.0,1.0,90.0,4.6,-0.7,0
173.7,208.3,234.7,177.0,17.3,32.0,2.7,0.3,50.0,5.4,0.6,83.0,302.0,198.3,191.3,14.3,37.0,3.3,1.3,55.6,-15.6,-10.4,0
121.0,161.0,369.0,328.3,32.0,34.3,2.3,1.7,11.1,8.3,1.9,238.3,150.7,262.0,235.7,44.7,34.7,1.3,0.3,77.8,5.1,-0.5,1
54.0,217.3,186.7,152.0,17.3,25.0,1.3,1.0,80.0,6.2,1.9,222.3,80.7,304.0,271.0,51.7,21.0,1.3,1.3,30.0,19.5,6.2,1
199.7,219.3,215.7,192.0,32.3,36.7,1.7,1.3,80.0,-6.3,-8.4,103.7,141.3,120.0,220.3,6.3,20.3,1.3,1.0,50.0,-11.5,-7.3,1
214.7,199.3,266.7,186.7,34.7,31.7,1.7,0.7,77.8,4.9,0.9,159.3,241.7,268.7,171.0,23.7,37.0,1.7,1.7,22.2,-4.1,3.4,0
216.3,326.0,337.0,221.7,38.3,44.0,2.3,1.0,30.0,7.6,5.6,255.7,107.7,130.0,188.0,28.3,24.0,2.3,2.3,30.0,12.6,9.3,0
209.0,47.0,179.0,278.0,31.0,24.0,0.0,3.0,70.0,1.3,-2.2,83.0,149.0,279.0,233.0,30.0,27.0,2.0,2.0,18.2,-2.6,-15.8,0
115.0,256.0,233.0,283.0,16.0,34.0,1.0,0.0,33.3,-19.1,-20.4,138.0,228.5,302.5,225.5,36.0,32.5,1.0,2.0,22.2,-6.4,-12.6,1
224.3,108.3,186.3,264.3,36.3,19.0,1.0,2.7,30.0,10.9,4.1,141.0,178.0,298.7,230.7,31.3,25.0,2.7,1.7,60.0,-1.5,-8.6,1
232.7,147.3,371.0,154.3,53.3,18.3,0.3,2.7,88.9,33.4,4.6,99.0,192.7,226.3,232.7,21.0,36.3,2.3,1.3,66.7,-0.6,2.5,0
74.7,284.7,291.3,239.7,14.0,45.7,1.7,0.7,90.0,-4.1,-2.6,50.0,379.0,158.0,185.3,12.7,47.3,0.7,0.3,80.0,-0.6,3.3,1
178.0,88.7,198.7,228.0,38.3,12.7,0.3,2.7,40.0,3.7,-7.6,122.7,319.0,285.7,156.0,34.7,39.0,2.0,2.0,90.0,11.1,5.1,0
132.7,231.7,238.7,170.0,26.0,23.0,1.3,1.7,80.0,-0.5,-7.0,73.3,234.3,114.0,201.7,8.7,33.3,0.3,1.7,40.0,-11.2,-0.8,1
290.0,102.3,257.7,331.3,39.0,21.0,2.0,2.7,45.5,18.4,8.0,226.7,94.3,239.3,201.0,35.3,12.7,0.7,1.7,40.0,27.7,9.8,1
127.7,173.3,207.3,139.7,20.3,22.7,1.3,0.7,80.0,9.0,9.0,167.0,87.7,207.0,256.3,23.0,16.7,2.7,3.0,40.0,-7.2,-9.8,0
184.7,93.3,269.3,204.7,38.0,20.3,1.7,3.3,50.0,-0.6,-8.8,61.3,214.7,322.0,214.7,28.3,28.7,3.0,1.3,60.0,-15.1,-11.1,0
218.0,119.0,234.0,224.3,26.3,18.0,0.7,1.3,50.0,1.6,-3.3,245.3,224.0,95.3,157.7,26.7,25.7,1.3,1.3,72.7,-15.2,-10.4,1
150.7,123.7,412.3,272.7,38.3,28.0,1.7,1.7,70.0,14.0,2.8,260.3,223.0,237.0,297.3,45.7,47.0,1.0,1.7,40.0,9.0,3.6,1
317.3,141.3,253.3,292.3,55.7,29.7,1.3,3.0,10.0,13.0,-7.0,161.3,103.3,406.3,235.7,54.3,18.3,1.0,1.7,70.0,22.5,0.5,1
95.0,141.0,346.3,289.3,38.7,29.7,2.7,1.7,50.0,18.7,6.0,17.7,205.3,205.7,185.0,19.3,25.7,2.3,2.7,70.0,-10.2,-10.2,1
158.7,67.7,259.7,147.3,36.3,7.7,2.3,3.0,60.0,14.1,-1.4,140.7,193.0,226.0,243.0,25.0,29.3,1.0,2.0,50.0,-17.6,-7.4,0
122.7,169.0,245.0,256.7,28.7,33.3,1.3,2.0,50.0,-11.3,-7.8,131.3,98.0,119.0,300.3,15.7,29.7,0.7,2.0,50.0,-7.8,-4.4,1
159.7,257.0,181.0,162.3,13.3,38.7,2.7,2.0,80.0,-16.4,-9.4,79.3,83.7,168.0,194.7,15.0,30.3,2.3,1.0,72.7,-14.3,-7.3,1
163.3,201.0,249.7,228.3,40.7,28.0,1.3,2.0,40.0,-2.4,-8.3,182.3,155.3,276.7,250.0,32.3,26.7,2.0,2.3,60.0,-7.6,-7.0,1
159.0,162.7,176.7,213.7,25.0,28.3,1.7,2.7,80.0,16.1,6.3,122.7,161.3,217.7,218.7,18.3,35.0,0.7,1.0,90.0,8.9,4.3,0
194.0,89.0,222.0,220.0,29.0,22.0,1.5,2.0,50.0,-6.2,-7.9,106.0,252.0,168.0,80.0,22.0,9.5,2.0,2.5,50.0,-6.4,-10.2,0
120.7,77.0,118.0,178.7,21.0,18.7,1.7,2.3,80.0,5.7,3.5,114.3,114.7,361.7,292.0,35.3,30.3,3.0,2.3,70.0,5.4,8.5,1
143.7,158.0,384.3,245.0,40.0,25.0,0.7,1.3,66.7,7.8,-1.4,64.3,202.3,216.3,301.3,15.7,45.0,3.7,1.0,50.0,-17.6,-11.9,1
101.3,270.7,195.7,223.7,17.0,47.0,2.7,1.3,22.2,-0.5,3.8,162.7,302.3,297.0,221.3,34.7,39.7,1.0,0.7,90.0,-1.8,-0.2,1
151.7,125.0,153.7,233.7,21.3,22.7,2.0,2.3,70.0,-2.2,-6.9,98.7,171.3,195.3,276.7,15.3,41.0,2.0,1.3,80.0,-10.0,3.1,1
161.7,94.0,237.0,223.0,24.7,15.0,1.7,1.0,80.0,12.7,3.5,187.0,195.7,152.7,205.0,18.3,33.3,3.7,2.0,70.0,-1.3,-1.6,0
186.3,96.3,258.3,224.7,35.3,17.0,1.3,2.0,60.0,13.7,7.3,135.7,118.0,276.7,176.3,24.7,11.0,0.3,1.7,40.0,7.6,2.6,1
123.3,115.7,139.3,218.7,14.7,25.3,3.0,1.7,70.0,-4.4,-2.2,79.7,153.3,269.7,193.0,23.0,24.7,1.7,2.0,36.4,-4.3,-2.4,1
274.0,118.0,197.0,242.3,34.3,10.0,1.0,1.7,70.0,18.2,5.2,133.3,250.0,333.3,173.7,39.3,27.3,2.0,1.7,100.0,15.5,6.6,1
99.0,110.7,238.7,233.0,20.3,29.3,2.3,1.7,20.0,-19.9,-20.8,46.0,126.0,203.0,285.7,14.0,36.0,2.3,1.0,70.0,-15.8,-12.8,0
256.3,169.3,330.0,252.7,47.0,34.0,2.3,0.0,100.0,20.4,6.1,140.0,174.3,244.0,185.7,31.0,24.0,1.3,1.7,45.5,7.8,-1.8,0
132.7,150.3,286.3,309.7,31.3,30.0,1.3,2.3,18.2,9.5,10.5,163.3,98.0,172.0,228.7,33.0,24.0,1.3,2.0,60.0,11.5,5.0,0
126.0,208.7,268.0,256.7,30.7,41.7,1.3,1.0,90.0,-4.5,-0.2,142.7,97.3,271.3,154.3,26.0,21.7,2.3,1.7,40.0,6.3,1.3,0
165.0,156.3,318.0,286.0,40.0,25.3,2.0,1.3,100.0,10.2,3.5,269.7,124.7,124.0,139.0,27.3,16.7,1.3,1.7,70.0,13.4,1.1,0
169.7,95.7,302.7,177.0,32.3,13.7,1.0,1.7,50.0,18.4,-2.0,116.3,290.7,334.0,288.3,20.3,32.0,1.0,2.3,80.0,-2.1,1.4,0
0.0,0.0,0.0,0.0,35.7,25.0,0.7,1.0,30.0,7.4,7.4,0.0,0.0,0.0,0.0,12.3,47.3,1.0,0.3,80.0,-15.0,-15.0,1
177.3,79.3,182.0,90.7,24.0,10.0,1.3,1.3,80.0,25.7,8.1,286.0,91.3,114.3,157.3,45.0,10.0,0.7,3.0,60.0,28.4,12.3,0
217.3,134.7,288.7,173.3,58.0,23.3,0.7,2.0,70.0,10.9,-0.7,134.0,161.7,191.0,244.0,21.3,33.0,1.0,2.0,70.0,-6.3,-2.0,1
174.0,193.0,205.0,189.0,23.7,22.7,0.7,1.3,40.0,3.7,0.4,122.0,176.3,167.7,314.3,17.0,39.7,1.0,0.3,33.3,-15.9,-8.8,0
183.0,98.7,151.0,202.7,24.3,14.7,0.3,1.0,55.6,11.1,4.9,108.3,183.3,323.7,160.3,37.7,26.7,0.3,1.0,100.0,5.7,2.6,0
96.7,135.7,292.7,246.0,30.3,17.0,0.0,1.0,50.0,11.2,3.2,222.7,176.3,180.7,173.7,38.0,19.3,1.0,2.3,50.0,3.2,3.3,0
354.0,14.0,331.0,301.0,49.0,14.0,3.0,1.0,30.0,6.8,-10.3,60.0,177.0,377.0,341.0,17.0,63.0,3.0,1.0,70.0,-10.7,7.2,0
217.0,116.7,220.7,174.7,46.0,16.3,1.7,3.3,40.0,7.0,-2.0,108.0,190.0,258.7,215.7,26.7,31.3,1.7,1.0,60.0,-7.6,-9.9,1
6.0,241.0,362.0,211.0,24.0,44.0,1.0,2.0,30.0,-22.6,-8.4,110.0,67.0,192.0,304.0,17.0,19.0,1.0,1.0,60.0,-3.0,11.7,1
146.3,144.3,166.3,172.0,15.3,15.7,1.3,2.3,60.0,-14.1,-10.0,216.7,171.3,175.7,200.7,28.0,27.7,3.0,1.0,60.0,-7.5,-7.3,1
108.7,93.7,342.7,231.0,25.7,27.3,2.0,1.0,77.8,6.4,0.2,64.3,112.3,268.0,201.7,26.3,25.3,2.3,0.7,80.0,6.0,1.0,1
