f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
126.3,191.6,200.4,214.8,15.1,30.0,1.1,2.0,90.0,-7.9,0.0,147.3,192.8,346.9,282.1,38.3,32.1,1.0,1.0,40.0,8.1,2.3,0
236.8,234.0,211.5,154.8,35.8,26.3,1.3,0.5,30.0,-2.5,-13.3,213.6,168.2,263.6,317.6,35.8,37.8,0.8,0.8,40.0,-6.8,-5.3,0
179.0,141.9,293.4,261.1,36.6,26.7,1.1,1.5,50.0,3.2,-4.4,192.5,182.3,268.2,268.7,32.3,30.4,1.5,1.3,90.0,-5.1,-7.2,0
107.8,162.7,302.6,285.4,22.5,37.3,1.8,0.8,40.0,-2.3,2.8,136.1,154.2,157.1,234.0,18.5,24.2,1.1,1.6,50.0,-0.2,2.7,1
91.8,209.6,182.9,211.6,17.0,29.1,1.9,1.9,70.0,-13.2,-7.5,89.1,236.9,186.9,310.1,9.6,46.8,2.6,0.8,70.0,-25.1,-2.8,0
218.5,186.0,340.2,231.5,39.1,27.8,1.5,1.4,66.7,17.7,8.7,270.0,185.4,261.7,288.7,41.5,36.3,1.4,1.7,88.9,10.9,6.7,0
129.6,143.0,186.8,232.2,20.6,25.4,1.8,1.2,70.0,-1.9,1.3,130.7,114.5,253.5,240.5,23.9,22.0,2.1,2.5,50.0,2.4,1.8,1
163.5,175.9,244.3,227.9,23.0,32.3,1.6,1.1,33.3,0.2,3.5,133.6,260.8,153.9,208.3,15.4,39.6,1.9,1.5,50.0,-11.2,-3.6,0
178.7,123.5,196.8,214.5,30.7,21.9,1.4,1.7,90.0,11.3,4.2,192.4,94.7,190.7,215.2,22.7,18.6,2.0,1.6,90.0,4.6,-0.7,1
171.8,181.3,281.5,170.6,27.0,24.9,2.3,1.1,50.0,5.4,0.6,80.4,219.5,190.9,207.6,17.6,28.6,2.5,2.0,55.6,-15.6,-10.4,1
121.0,161.0,369.0,328.3,32.0,34.3,2.3,1.7,11.1,8.3,1.9,238.3,150.7,262.0,235.7,44.7,34.7,1.3,0.3,77.8,5.1,-0.5,0
158.8,149.9,205.1,175.4,25.5,19.0,1.9,2.4,80.0,6.2,1.9,197.7,99.3,264.3,249.0,43.1,24.2,1.3,1.3,30.0,19.5,6.2,0
161.1,235.2,351.8,273.1,41.6,39.8,1.4,1.6,80.0,-6.3,-8.4,117.6,141.9,170.8,212.1,16.4,23.9,1.8,1.7,50.0,-11.5,-7.3,0
251.9,189.4,212.1,196.3,33.1,28.1,1.4,1.1,77.8,4.9,0.9,132.0,194.8,272.5,204.3,24.3,32.4,1.5,1.4,22.2,-4.1,3.4,1
174.8,225.0,296.3,255.4,35.3,37.1,1.5,0.9,30.0,7.6,5.6,206.1,112.9,179.1,217.8,30.5,22.9,2.1,2.8,30.0,12.6,9.3,1
209.0,47.0,179.0,278.0,31.0,24.0,0.0,3.0,70.0,1.3,-2.2,83.0,149.0,279.0,233.0,30.0,27.0,2.0,2.0,18.2,-2.6,-15.8,1
115.0,256.0,233.0,283.0,16.0,34.0,1.0,0.0,33.3,-19.1,-20.4,138.0,228.5,302.5,225.5,36.0,32.5,1.0,2.0,22.2,-6.4,-12.6,1
200.3,123.8,186.3,252.0,34.8,22.5,0.8,2.5,30.0,10.9,4.1,118.0,162.0,298.8,210.8,26.0,22.0,2.8,1.8,60.0,-1.5,-8.6,0
216.7,126.7,350.3,189.9,53.6,15.1,0.7,2.3,88.9,33.4,4.6,154.2,158.2,203.6,233.2,20.2,29.8,1.8,1.0,66.7,-0.6,2.5,0
81.5,256.0,325.8,230.8,22.3,41.0,1.5,0.5,90.0,-4.1,-2.6,58.2,282.4,195.0,159.6,16.0,31.0,0.6,0.8,80.0,-0.6,3.3,0
191.1,111.3,187.7,216.3,33.4,18.9,1.3,1.7,40.0,3.7,-7.6,145.8,166.0,244.0,192.3,32.4,24.5,1.2,1.9,90.0,11.1,5.1,0
173.3,167.5,264.5,202.3,30.7,20.7,1.2,1.7,80.0,-0.5,-7.0,79.6,248.1,133.7,207.1,10.4,31.4,1.0,1.1,40.0,-11.2,-0.8,0
272.6,98.2,269.2,328.2,42.6,19.4,1.8,2.4,45.5,18.4,8.0,268.0,100.2,229.2,206.4,42.0,14.4,1.0,1.8,40.0,27.7,9.8,0
118.3,157.3,252.0,178.3,24.8,25.5,1.5,1.0,80.0,9.0,9.0,129.0,104.8,200.0,255.5,22.0,19.0,2.5,2.5,40.0,-7.2,-9.8,0
148.3,112.8,282.7,208.5,30.4,19.4,1.9,2.3,50.0,-0.6,-8.8,91.1,210.0,289.5,252.8,23.2,32.6,2.5,1.6,60.0,-15.1,-11.1,0
185.1,101.6,198.6,222.8,20.7,18.4,1.5,1.9,50.0,1.6,-3.3,187.6,174.4,101.1,225.3,19.1,28.2,1.3,1.7,72.7,-15.2,-10.4,1
154.3,109.0,366.3,259.1,41.0,24.6,1.3,1.5,70.0,14.0,2.8,216.3,180.8,273.6,240.7,38.9,33.4,1.3,1.3,40.0,9.0,3.6,1
280.8,135.3,239.0,239.8,51.5,25.5,1.3,2.5,10.0,13.0,-7.0,177.5,97.8,385.5,289.5,53.8,24.3,1.3,1.8,70.0,22.5,0.5,0
95.0,141.0,346.3,289.3,38.7,29.7,2.7,1.7,50.0,18.7,6.0,12.5,194.8,178.5,186.0,17.0,23.5,2.0,2.3,70.0,-10.2,-10.2,0
140.9,109.9,263.9,177.9,32.6,10.3,1.9,2.7,60.0,14.1,-1.4,134.3,180.8,191.6,249.6,21.0,35.6,1.8,1.8,50.0,-17.6,-7.4,0
122.7,169.0,245.0,256.7,28.7,33.3,1.3,2.0,50.0,-11.3,-7.8,131.3,98.0,119.0,300.3,15.7,29.7,0.7,2.0,50.0,-7.8,-4.4,0
183.3,231.3,201.3,231.3,17.8,38.5,2.5,2.0,80.0,-16.4,-9.4,77.3,114.0,197.0,223.0,13.8,31.5,2.3,1.3,72.7,-14.3,-7.3,0
176.1,217.4,278.9,208.6,35.3,26.6,1.0,2.0,40.0,-2.4,-8.3,123.5,212.5,278.2,257.3,28.7,38.5,2.8,2.0,60.0,-7.6,-7.0,0
167.5,130.2,258.2,270.4,35.0,27.5,1.2,1.8,80.0,16.1,6.3,205.0,128.4,211.5,250.4,30.0,27.0,1.1,1.6,90.0,8.9,4.3,1
194.0,89.0,222.0,220.0,29.0,22.0,1.5,2.0,50.0,-6.2,-7.9,106.0,252.0,168.0,80.0,22.0,9.5,2.0,2.5,50.0,-6.4,-10.2,1
117.6,93.3,190.7,242.0,22.7,22.1,2.6,2.6,80.0,5.7,3.5,92.3,187.4,369.7,309.6,28.9,38.4,1.7,1.3,70.0,5.4,8.5,1
156.5,163.5,382.5,239.5,39.5,29.0,1.0,1.0,66.7,7.8,-1.4,64.3,202.3,216.3,301.3,15.7,45.0,3.7,1.0,50.0,-17.6,-11.9,0
148.2,217.2,203.3,232.8,23.8,40.5,1.8,1.5,22.2,-0.5,3.8,121.8,267.5,308.0,225.3,28.3,39.8,1.5,0.7,90.0,-1.8,-0.2,0
151.7,125.0,153.7,233.7,21.3,22.7,2.0,2.3,70.0,-2.2,-6.9,98.7,171.3,195.3,276.7,15.3,41.0,2.0,1.3,80.0,-10.0,3.1,1
163.8,96.0,249.6,193.8,30.4,13.8,1.0,1.8,80.0,12.7,3.5,175.0,180.8,201.3,196.3,26.8,30.3,3.3,2.5,70.0,-1.3,-1.6,0
195.9,110.1,241.2,237.9,33.1,23.0,1.2,1.4,60.0,13.7,7.3,132.3,117.9,284.4,165.9,25.6,18.9,1.3,1.6,40.0,7.6,2.6,1
101.3,109.3,159.8,230.8,14.8,27.3,3.0,2.0,70.0,-4.4,-2.2,77.2,123.4,253.6,198.8,21.0,25.0,1.6,2.2,36.4,-4.3,-2.4,0
226.0,112.2,245.7,281.7,37.9,19.8,1.1,2.3,70.0,18.2,5.2,184.9,219.1,351.6,248.0,43.7,31.5,1.9,1.8,100.0,15.5,6.6,0
125.0,108.3,241.3,197.0,22.8,22.8,2.3,1.5,20.0,-19.9,-20.8,66.0,102.3,185.5,281.5,12.3,34.8,2.8,1.0,70.0,-15.8,-12.8,0
233.7,151.0,322.7,257.7,42.0,23.1,1.9,0.9,100.0,20.4,6.1,159.0,149.1,238.1,199.9,29.7,18.6,1.1,2.4,45.5,7.8,-1.8,0
121.5,178.7,223.7,281.0,29.0,30.8,0.7,2.0,18.2,9.5,10.5,170.2,131.3,184.3,207.5,31.8,23.5,1.5,2.2,60.0,11.5,5.0,1
126.0,208.7,268.0,256.7,30.7,41.7,1.3,1.0,90.0,-4.5,-0.2,142.7,97.3,271.3,154.3,26.0,21.7,2.3,1.7,40.0,6.3,1.3,1
162.2,123.4,303.8,252.0,33.4,23.8,2.6,1.8,100.0,10.2,3.5,293.4,155.9,157.3,145.2,37.4,19.1,1.2,1.8,70.0,13.4,1.1,0
236.2,93.2,303.0,180.8,39.6,15.6,1.2,1.2,50.0,18.4,-2.0,128.3,258.0,311.2,274.7,26.2,36.0,1.5,1.8,80.0,-2.1,1.4,1
28.8,34.5,60.1,32.0,46.1,27.5,0.7,1.3,30.0,7.4,7.4,13.5,12.9,39.0,27.8,16.7,34.5,0.8,0.8,80.0,-15.0,-15.0,1
215.1,54.3,215.7,123.4,35.2,7.7,1.1,1.6,80.0,25.7,8.1,219.5,93.0,152.8,172.3,37.6,11.2,0.6,2.4,60.0,28.4,12.3,1
181.7,124.0,310.3,213.2,47.0,27.7,1.0,2.3,70.0,10.9,-0.7,145.2,156.4,215.6,228.8,23.2,33.4,1.6,1.8,70.0,-6.3,-2.0,1
176.0,192.0,209.6,181.6,27.2,22.6,0.8,1.6,40.0,3.7,0.4,136.6,170.9,223.4,295.1,26.0,34.6,1.3,1.0,33.3,-15.9,-8.8,0
205.7,139.4,183.3,182.2,24.7,19.4,0.7,1.0,55.6,11.1,4.9,165.8,165.7,234.2,206.8,32.8,28.5,1.2,1.7,100.0,5.7,2.6,0
133.1,110.9,271.7,235.9,29.6,17.6,0.6,1.3,50.0,11.2,3.2,210.7,169.9,189.3,222.9,31.7,27.9,2.1,1.6,50.0,3.2,3.3,1
354.0,14.0,331.0,301.0,49.0,14.0,3.0,1.0,30.0,6.8,-10.3,60.0,177.0,377.0,341.0,17.0,63.0,3.0,1.0,70.0,-10.7,7.2,0
194.9,130.3,247.1,226.1,34.8,23.0,1.8,1.8,40.0,7.0,-2.0,106.7,127.9,237.9,208.8,22.4,25.3,1.6,1.8,60.0,-7.6,-9.9,0
6.0,241.0,362.0,211.0,24.0,44.0,1.0,2.0,30.0,-22.6,-8.4,110.0,67.0,192.0,304.0,17.0,19.0,1.0,1.0,60.0,-3.0,11.7,1
126.9,154.8,175.6,227.2,16.9,28.7,2.1,1.7,60.0,-14.1,-10.0,144.8,151.3,232.6,241.6,25.2,32.0,2.3,0.9,60.0,-7.5,-7.3,1
105.0,83.3,310.5,236.8,24.3,26.5,1.8,1.8,77.8,6.4,0.2,80.5,103.8,246.3,197.5,27.3,22.5,1.8,1.0,80.0,6.0,1.0,0
94.5,257.3,272.0,167.0,16.5,21.5,1.5,1.8,44.4,-11.0,-12.1,97.2,240.4,245.2,280.0,19.2,47.2,2.8,0.6,33.3,-22.0,-5.9,1
